0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:48 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10834
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:48 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:48 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:48 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:49 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:07:49 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:05 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10834
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:05 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:05 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:05 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:05 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:06 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:06 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:06 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:55 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10877
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:55 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:55 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:55 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:55 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:56 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:57 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:57 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:08:57 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:50 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:50 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:50 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:50 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:50 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:51 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:11:51 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
